PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D10017908445,ZEPHYR BL 17X9 6X5.5 106.1 QL -15,Fuel 1PC,17X9,6X5.5,-15,470.00,470.00 ,Matte Black,398.00,72.00,exact
D10217908445,ZEPHYR BL 17X9 6X5.5 106.1 MC -15,Fuel 1PC,17X9,6X5.5,-15,510.00,510.00 ,Matte Black,398.00,112.00,exact
D11417907536,COVERT BL 17X9 5X5.0 71.5 BD -38,Fuel 1PC,17X9,5X5.0,-38,470.00,470.00 ,Matte Black,398.00,72.00,exact
D11417907545,COVERT BL 17X9 5X5.0 71.5 BD -15,Fuel 1PC,17X9,5X5.0,-15,470.00,470.00 ,Matte Black,398.00,72.00,exact
D265242017-43L,RENEGADE 24X12 8X170 125.1 NB -43 L L,Fuel 1PC,24X12,8X170,-43,825.00,825.00 ,Matte Black,722.10,102.90,size-avg
D265242017-43R,RENEGADE 24X12 8X170 125.1 NB -43 R R,Fuel 1PC,24X12,8X170,-43,825.00,825.00 ,Matte Black,722.10,102.90,size-avg
D406208292,CATALYST DRW 20X8.25 8X200 +105 MB-GB DF,Fuel 1PC,20X8.25,8X200,105,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D40620829235,CATALYST DRW 20X8.25 8X200 -202 MB-GB DR,Fuel 1PC,20X8.25,8X200,-202,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D406208293,CATALYST DRW 20X8.25 8X210 +105 MB-GB DF,Fuel 1PC,20X8.25,8X210,105,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D40620829335,CATALYST DRW 20X8.25 8X210 -221 MB-GB DR,Fuel 1PC,20X8.25,8X210,-221,520.00,520.00 ,Matte Black w/ Gloss Black,616.33,-96.33,size-avg
D406228292,CATALYST DRW 22X8.25 8X200 +105 MB-GB DF,Fuel 1PC,22X8.25,8X200,105,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D40622829235,CATALYST DRW 22X8.25 8X200 -202 MB-GB DR,Fuel 1PC,22X8.25,8X200,-202,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D406228293,CATALYST DRW 22X8.25 8X210 +105 MB-GB DF,Fuel 1PC,22X8.25,8X210,105,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D40622829335,CATALYST DRW 22X8.25 8X210 -221 MB-GB DR,Fuel 1PC,22X8.25,8X210,-221,670.00,670.00 ,Matte Black w/ Gloss Black,678.00,-8.00,size-avg
D406248292,CATALYST DRW 24X8.25 8X200 +105 MB-GB DF,Fuel 1PC,24X8.25,8X200,105,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D40624829235,CATALYST DRW 24X8.25 8X200 -202 MB-GB DR,Fuel 1PC,24X8.25,8X200,-202,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D406248293,CATALYST DRW 24X8.25 8X210 +105 MB-GB DF,Fuel 1PC,24X8.25,8X210,105,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D40624829335,CATALYST DRW 24X8.25 8X210 -221 MB-GB DR,Fuel 1PC,24X8.25,8X210,-221,849.00,849.00 ,Matte Black w/ Gloss Black,,,
D407208292,CATALYST DRW 20X8.25 8X200 +105 CH-GB DF,Fuel 1PC,20X8.25,8X200,105,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D40720829235,CATALYST DRW 20X8.25 8X200 -202 CH-GB DR,Fuel 1PC,20X8.25,8X200,-202,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D407208293,CATALYST DRW 20X8.25 8X210 +105 CH-GB DF,Fuel 1PC,20X8.25,8X210,105,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D40720829335,CATALYST DRW 20X8.25 8X210 -221 CH-GB DR,Fuel 1PC,20X8.25,8X210,-221,670.00,670.00 ,Chrome w/ Gloss Black,698.00,-28.00,exact
D407228292,CATALYST DRW 22X8.25 8X200 +105 CH-GB DF,Fuel 1PC,22X8.25,8X200,105,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D40722829235,CATALYST DRW 22X8.25 8X200 -202 CH-GB DR,Fuel 1PC,22X8.25,8X200,-202,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D407228293,CATALYST DRW 22X8.25 8X210 +105 CH-GB DF,Fuel 1PC,22X8.25,8X210,105,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D40722829335,CATALYST DRW 22X8.25 8X210 -221 CH-GB DR,Fuel 1PC,22X8.25,8X210,-221,870.00,870.00 ,Chrome w/ Gloss Black,798.00,72.00,exact
D407248292,CATALYST DRW 24X8.25 8X200 +105 CH-GB DF,Fuel 1PC,24X8.25,8X200,105,999.00,999.00 ,Chrome w/ Gloss Black,,,
D40724829235,CATALYST DRW 24X8.25 8X200 -202 CH-GB DR,Fuel 1PC,24X8.25,8X200,-202,999.00,999.00 ,Chrome w/ Gloss Black,,,
D407248293,CATALYST DRW 24X8.25 8X210 +105 CH-GB DF,Fuel 1PC,24X8.25,8X210,105,999.00,999.00 ,Chrome w/ Gloss Black,,,
D40724829335,CATALYST DRW 24X8.25 8X210 -221 CH-GB DR,Fuel 1PC,24X8.25,8X210,-221,999.00,999.00 ,Chrome w/ Gloss Black,,,
D43617859457,MAVERICK 17X8.5 6X120 BD 5.75 72 25MM,Fuel 1PC,17X8.5,6X120,25,320.00,320.00 ,Matte Bronze w/ Black Lip,,,
D43617909845,MAVERICK 17X9 6X135/5.5 BD 106.4 -12MM,Fuel 1PC,17X9,6X135/5.5,-12,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D43617909850,MAVERICK 17X9 6X135/5.5 BD 5.00 106.4 01,Fuel 1PC,17X9,6X135/5.5,1,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D43617909857,MAVERICK 17X9 6X135/5.5 BD 5.75 106.4 20,Fuel 1PC,17X9,6X135/5.5,20,320.00,320.00 ,Matte Bronze w/ Black Lip,378.00,-58.00,exact
D43618906957,MAVERICK 18X9 6X120/5.5 BD 5.75 78.1 +19,Fuel 1PC,18X9,6X120/5.5,19,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43618908245,MAVERICK 18X9 8X6.5 BD 4.50 125.2 -12MM,Fuel 1PC,18X9,8X6.5,-12,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43618908257,MAVERICK 18X9 8X6.5 BD 5.75 125.2 20MM,Fuel 1PC,18X9,8X6.5,20,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43618909844,MAVERICK 18X9 6X135/5.5 BD 106.1 -13MM,Fuel 1PC,18X9,6X135/5.5,-13,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43620001747,MAVERICK 20X10 8X170 125.1 BD -18,Fuel 1PC,20X10,8X170,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43620001750,MAVERICK 20X10 8X170 BD 5.00 125.1 -12MM,Fuel 1PC,20X10,8X170,-12,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43620001847,MAVERICK 20X10 8X180 124.2 BD -18,Fuel 1PC,20X10,8X180,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43620009845,MAVERICK 20X10 6X135/139.7 4.50 BD -24,Fuel 1PC,20X10,6X135/5.5,-24,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43620828D,MAVERICK DRW 20X8.25 8X6.5 +122 BD (DF),Fuel 1PC,20X8.25,8X6.5,122,460.00,460.00 ,Matte Bronze w/ Black Lip,616.33,-156.33,size-avg
D436208292,MAVERICK DRW 20X8.25 8X200 +122 BD (DF),Fuel 1PC,20X8.25,8X200,122,460.00,460.00 ,Matte Bronze w/ Black Lip,616.33,-156.33,size-avg
D43620829235,MAVERICK DRW 20X8.25 8X200 -201 BD (DR),Fuel 1PC,20X8.25,8X200,-201,460.00,460.00 ,Matte Bronze w/ Black Lip,616.33,-156.33,size-avg
D436208293,MAVERICK DRW 20X8.25 8X210 +122 BD (DF),Fuel 1PC,20X8.25,8X210,122,460.00,460.00 ,Matte Bronze w/ Black Lip,616.33,-156.33,size-avg
D43620829335,MAVERICK DRW 20X8.25 8X210 -221 BD (DR),Fuel 1PC,20X8.25,8X210,-221,460.00,460.00 ,Matte Bronze w/ Black Lip,616.33,-156.33,size-avg
D43620901857,MAVERICK 20X9 8X180 BD 5.75 125.2 20MM,Fuel 1PC,20X9,8X180,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43620907057,MAVERICK 20X9 5X5.5/150 110.1 BD +20,Fuel 1PC,20X9,5X5.5/150,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43620908257,MAVERICK 20X9 8X6.5 BD 5.75 125.2 20MM,Fuel 1PC,20X9,8X6.5,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43620909850,MAVERICK 20X9 6X135/5.5 106.1 BD +01,Fuel 1PC,20X9,6X135/5.5,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43620909856,MAVERICK 20X9 6X135/5.5 106.1 BD +19,Fuel 1PC,20X9,6X135/5.5,19,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43622959860,MAVERICK 22X9.5 6X135/5.5 BD 106.1 20MM,Fuel 1PC,22X9.5,6X135/5.5,20,510.00,510.00 ,Matte Bronze w/ Black Lip,,,
D43718909845,CONTRA 18X9 6X135/5.5 BD 4.50 106.1 -12,Fuel 1PC,18X9,6X135/5.5,-12,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43718909850,CONTRA 18X9 6X135/5.5 BD 5.00 106.1 01MM,Fuel 1PC,18X9,6X135/5.5,1,370.00,370.00 ,Matte Bronze w/ Black Lip,398.00,-28.00,exact
D43720001747,CONTRA 20X10 8X170 BD 4.75 125.1 -18MM,Fuel 1PC,20X10,8X170,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43720007047,CONTRA 20X10 5X5.5/150 BD 4.75 110.2 -18,Fuel 1PC,20X10,5X5.5/150,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43720008247,CONTRA 20X10 8X6.5 BD 4.75 125.2 -18MM,Fuel 1PC,20X10,8X6.5,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43720009846,CONTRA 20X10 6X135/5.5 BD 4.70 106.1 -19,Fuel 1PC,20X10,6X135/5.5,-19,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D43720901750,CONTRA 20X9 8X170 BD 5.00 125.1 01MM,Fuel 1PC,20X9,8X170,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720901757,CONTRA 20X9 8X170 BD 5.75 125.1 20MM,Fuel 1PC,20X9,8X170,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720901857,CONTRA 20X9 8X180 BD 5.75 124.3 20MM,Fuel 1PC,20X9,8X180,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720902650,CONTRA 20X9 5X4.5/5 BD 5.00 78.1 01MM,Fuel 1PC,20X9,5X4.5/5.0,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720907050,CONTRA 20X9 5X5.5/150 BD 5.00 110.2 01MM,Fuel 1PC,20X9,5X5.5/150,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720907057,CONTRA 20X9 5X5.5/150 BD 5.75 110.2 20MM,Fuel 1PC,20X9,5X5.5/150,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720908250,CONTRA 20X9 8X6.5 BD 5.00 125.2 01MM,Fuel 1PC,20X9,8X6.5,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720908257,CONTRA 20X9 8X6.5 BD 5.75 125.2 20MM,Fuel 1PC,20X9,8X6.5,20,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720909849,CONTRA 20X9 6X135/5.5 BD 5.00 106.1 02MM,Fuel 1PC,20X9,6X135/5.5,2,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D43720909856,CONTRA 20X9 6X135/5.5 BD 5.75 106.1 19MM,Fuel 1PC,20X9,6X135/5.5,19,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D500208217,DUALLY DRW 20X8.25 8X170 +115 BL (DI),Fuel 1PC,20X8.25,8X170,115,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D50020828F,DUALLY DRW 20X8.25 8X6.5 +115 BL (DI),Fuel 1PC,20X8.25,8X6.5,115,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D500208292,DUALLY DRW 20X8.25 8X200 +115 BL (DI),Fuel 1PC,20X8.25,8X200,115,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D50020829D,DUAL INR 20X8.25 8X200 141 BL +115,Fuel 1PC,20X8.25,8X200,115,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D501208272,DUALLY DRW 20X8.25 8X6.5 +97 BL (DI),Fuel 1PC,20X8.25,8X6.5,97,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D50120828D,DUALLY DRW 20X8.25 8X6.5 +78 BL (DI),Fuel 1PC,20X8.25,8X6.5,78,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D501208293,DUALLY DRW 20X8.25 8X210 +97 BL (DI),Fuel 1PC,20X8.25,8X210,97,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D5012082A9,DUALLY DRW 20X8.25 10X225 +114 BL (DI),Fuel 1PC,20X8.25,10X225,114,374.00,374.00 ,Matte Black,616.33,-242.33,size-avg
D501228217,DUALLY DRW 22X8.25 8X170 +116 BL (DI),Fuel 1PC,22X8.25,8X170,116,433.00,433.00 ,Matte Black,678.00,-245.00,size-avg
D501228272,DUALLY DRW 22X8.25 8X6.5 +97 BL (DI),Fuel 1PC,22X8.25,8X6.5,97,433.00,433.00 ,Matte Black,678.00,-245.00,size-avg
D50122828D,DUALLY DRW 22X8.25 8X6.5 +78 BL (DI),Fuel 1PC,22X8.25,8X6.5,78,433.00,433.00 ,Matte Black,678.00,-245.00,size-avg
D501228292,DUALLY INNER 22X8.25 8X200 142 BL +116,Fuel 1PC,22X8.25,8X200,116,433.00,433.00 ,Matte Black,678.00,-245.00,size-avg
D501228293,DUALLY DRW 22X8.25 8X210 +97 BL (DI),Fuel 1PC,22X8.25,8X210,97,433.00,433.00 ,Matte Black,678.00,-245.00,size-avg
D50122829D,DUALLY INNER 22X8.25 8X200 141 BL +116,Fuel 1PC,20X8.25,8X200,116,433.00,433.00 ,Matte Black,616.33,-183.33,size-avg
D501248272,DUALLY DRW 24X8.25 8X6.5 +97 BL (DI),Fuel 1PC,24X8.25,8X6.5,97,575.00,575.00 ,Matte Black,,,
D50124828D,DUALLY DRW 24X8.25 8X6.5 +78 BL (DI),Fuel 1PC,24X8.25,8X6.5,78,575.00,575.00 ,Matte Black,,,
D50124828F,DUALLY DRW 24X8.25 8X6.5 +118 BL (DI),Fuel 1PC,24X8.25,8X6.5,118,575.00,575.00 ,Matte Black,,,
D501248292,DUALLY DRW 24X8.25 8X200 +118 BL (DI),Fuel 1PC,24X8.25,8X200,118,575.00,575.00 ,Matte Black,,,
D501248293,DUALLY DRW 24X8.25 8X210 +97 BL (DI),Fuel 1PC,24X8.25,8X210,97,575.00,575.00 ,Matte Black,,,
D50124829D,DUAL INR 24X8.25 8X200 141 BL +118,Fuel 1PC,20X8.25,8X200,118,575.00,575.00 ,Matte Black,616.33,-41.33,size-avg
D5032082A9,DUALLY INR 20X8.25 10X225 +114 GBLK (DI),Fuel 1PC,20X8.25,10X225,114,395.00,395.00 ,Gloss Black,558.00,-163.00,exact
D5032282A9,DUALLY INR 22X8.25 10X225 +116 GBLK (DI),Fuel 1PC,22X8.25,10X225,116,450.00,450.00 ,Gloss Black,598.00,-148.00,exact
D5032482A9,DUALLY INR 24X8.25 10X225 +118 GBLK (DI),Fuel 1PC,24X8.25,10X225,118,825.00,825.00 ,Gloss Black,,,
D513176582F,THROTTLE DRW 17X6.5 8X6.5 +129 NBD (DF),Fuel 1PC,17X6.5,8X6.5,129,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D513176582R,THROTTLE DRW 17X6.5 8X6.5 -140 NBD (DR),Fuel 1PC,17X6.5,8X6.5,-140,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D513176592F,THROTTLE DRW 17X6.5 8X200 +129 NBD (DF),Fuel 1PC,17X6.5,8X200,129,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D513176592R,THROTTLE DRW 17X6.5 8X200 -140 NBD (DR),Fuel 1PC,17X6.5,8X200,-140,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D513176593F,THROTTLE DRW 17X6.5 8X210 +129 NBD (DF),Fuel 1PC,17X6.5,8X210,129,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D513176593R,THROTTLE DRW 17X6.5 8X210 -140 NBD (DR),Fuel 1PC,17X6.5,8X210,-140,330.00,330.00 ,Matte Black w/ Dark Tint,531.33,-201.33,size-avg
D51520009845,PUMP 20X10 6X135/5.5 106.1 BD -24,Fuel 1PC,20X10,6X135/5.5,-24,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D51620909850,KRANK 20X9 6X135/5.5 106.1 P +01,Fuel 1PC,20X9,6X135/5.5,1,585.00,585.00 ,Chrome,622.15,-37.15,exact
D51717900550,KRANK 17X9 5X5/135 NB 5.00 87.1 01MM,Fuel 1PC,17X9,5X5.0/135,1,345.00,345.00 ,Matte Black,398.00,-53.00,exact
D51717901750,KRANK 17X9 8X170 NB 5.00 125.2 01MM,Fuel 1PC,17X9,8X170,1,345.00,345.00 ,Matte Black,398.00,-53.00,exact
D51717902645,KRANK 17X9 5X4.5/5.0 78.1 NBD -12,Fuel 1PC,17X9,5X4.5/5.0,-12,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717905750,KRANK 17X9 5X5.0/5.5 87.1 NBD +01,Fuel 1PC,17X9,5X5.0/5.5,1,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717905757,KRANK 17X9 5X5.0/5.5 87.1 NBD +20,Fuel 1PC,17X9,5X5.0/5.5,20,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717908245,KRANK 17X9 8X6.5 125.1 NBD -12,Fuel 1PC,17X9,8X6.5,-12,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717908250,KRANK 17X9 8X6.5 125.1 NBD +01,Fuel 1PC,17X9,8X6.5,1,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717908257,KRANK 17X9 8X6.5 125.1 NBD +20,Fuel 1PC,17X9,8X6.5,20,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717909845,KRANK 17X9 6X135/5.5 106.1 NBD -12,Fuel 1PC,17X9,6X135/5.5,-12,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717909850,KRANK 17X9 6X135/5.5 106.1 NBD +01,Fuel 1PC,17X9,6X135/5.5,1,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51717909857,KRANK 17X9 6X135/5.5 106.1 NBD +20,Fuel 1PC,17X9,6X135/5.5,20,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D51718901750,KRANK 18X9 8X170 125.1 NBD +01,Fuel 1PC,18X9,8X170,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718901857,KRANK 18X9 8X180 125.1 NBD +20,Fuel 1PC,18X9,8X180,20,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718902650,KRANK 18X9 5X4.5/5.0 78.1 NBD +01,Fuel 1PC,18X9,5X4.5/5.0,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718907057,KRANK 18X9 5X5.5/150 110.1 NBD +20,Fuel 1PC,18X9,5X5.5/150,20,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718908245,KRANK 18X9 8X6.5 125.1 NBD -12,Fuel 1PC,18X9,8X6.5,-12,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718908250,KRANK 18X9 8X6.5 125.1 NBD +01,Fuel 1PC,18X9,8X6.5,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718908257,KRANK 18X9 8X6.5 125.1 NBD +20,Fuel 1PC,18X9,8X6.5,20,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718909844,KRANK 18X9 6X135/5.5 106.1 NBD -13,Fuel 1PC,18X9,6X135/5.5,-13,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718909850,KRANK 18X9 6X135/5.5 106.1 NBD +01,Fuel 1PC,18X9,6X135/5.5,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51718909857,KRANK 18X9 6X135/5.5 106.1 NBD +20,Fuel 1PC,18X9,6X135/5.5,20,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D51720001745,KRANK 20X10 8X170 125.1 NBD -24,Fuel 1PC,20X10,8X170,-24,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720001750,KRANK 20X10 8X170 125.1 NBD -12,Fuel 1PC,20X10,8X170,-12,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720001850,KRANK 20X10 8X180 125.1 NBD -12,Fuel 1PC,20X10,8X180,-12,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720008245,KRANK 20X10 8X6.5 125.1 NBD -24,Fuel 1PC,20X10,8X6.5,-24,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720008250,KRANK 20X10 8X6.5 125.1 NBD -12,Fuel 1PC,20X10,8X6.5,-12,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720009845,KRANK 20X10 6X135/5.5 106.1 NBD -24,Fuel 1PC,20X10,6X135/5.5,-24,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D51720901750,KRANK 20X9 8X170 125.1 NBD +01,Fuel 1PC,20X9,8X170,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720901857,KRANK 20X9 8X180 125.1 NBD +20,Fuel 1PC,20X9,8X180,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720902650,KRANK 20X9 5X4.5/5.0 78.1 NBD +01,Fuel 1PC,20X9,5X4.5/5.0,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720907050,KRANK 20X9 5X5.5/150 110.1 NBD +01,Fuel 1PC,20X9,5X5.5/150,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720907057,KRANK 20X9 5X5.5/150 110.1 NBD +20,Fuel 1PC,20X9,5X5.5/150,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720908257,KRANK 20X9 8X6.5 125.1 NBD +20,Fuel 1PC,20X9,8X6.5,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720909850,KRANK 20X9 6X135/5.5 106.1 NBD +01,Fuel 1PC,20X9,6X135/5.5,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D51720909857,KRANK 20X9 6X135/5.5 106.1 NBD +20,Fuel 1PC,20X9,6X135/5.5,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D52515000437,REVOLVER 15X10 5X4.5/4.75 72 NB -43,Fuel 1PC,15X10,5X4.5/4.75,-43,345.00,345.00 ,Matte Black,,,
D52515008337,REVOLVER 15X10 6X5.5 108 NB -43,Fuel 1PC,15X10,6X5.5,-43,345.00,345.00 ,Matte Black,,,
D52515008537,REVOLVER 15X10 5X5.5 108 NB -43,Fuel 1PC,15X10,5X5.5,-43,345.00,345.00 ,Matte Black,,,
D52515800437,REVOLVER 15X8 5X4.5/4.75 72 NB -18,Fuel 1PC,15X8,5X4.5/4.75,-18,310.00,310.00 ,Matte Black,,,
D52515808337,REVOLVER 15X8 6X5.5 108 NB -18,Fuel 1PC,15X8,6X5.5,-18,310.00,310.00 ,Matte Black,,,
D52516802645,REVOLVER 16X8 5X4.5/5.0 72 NB +01,Fuel 1PC,16X8,5X4.5/5.0,1,325.00,325.00 ,Matte Black,,,
D52516803655,REVOLVER 16X8 6X130 84.1 NBD +25,Fuel 1PC,16X8,BLANK,25,325.00,325.00 ,Matte Black w/ Dark Tint,,,
D52517905745,REVOLVER 17X9 5X5.0/5.5 87.1 NB -12,Fuel 1PC,17X9,5X5.0/5.5,-12,345.00,345.00 ,Matte Black,398.00,-53.00,exact
D52518902645,REVOLVER 18X9 5X4.5/5.0 78.1 NBD -12,Fuel 1PC,18X9,5X4.5/5.0,-12,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D53017909850,HOSTAGE 17X9 6X135/5.5 106.1 P +01,Fuel 1PC,17X9,6X135/5.5,1,410.00,410.00 ,Chrome,394.08,15.92,size-avg
D53018900457,HOSTAGE 18X9 5X4.5/4.75 P 5.75 78.1 20MM,Fuel 1PC,18X9,5X4.5/4.75,20,460.00,460.00 ,Chrome,543.04,-83.04,exact
D53018909857,HOSTAGE 18X9 6X135/5.5 106.1 P +20,Fuel 1PC,18X9,6X135/5.5,20,460.00,460.00 ,Chrome,543.04,-83.04,exact
D53020909850,HOSTAGE 20X9 6X135/5.5 106.1 P +01,Fuel 1PC,20X9,6X135/5.5,1,585.00,585.00 ,Chrome,622.15,-37.15,exact
D53020909857,HOSTAGE 20X9 6X135/5.5 106.1 P +20,Fuel 1PC,20X9,6X135/5.5,20,585.00,585.00 ,Chrome,622.15,-37.15,exact
D53022959860,HOSTAGE 22X9.5 6X135/5.5 106.1 P +19,Fuel 1PC,22X9.5,6X135/5.5,19,635.00,635.00 ,Chrome,,,
D53117852662G,HOSTAGE 17X8.5 5X114.3 5X127  GD 6.2 73.,Fuel 1PC,17X8.5,5X4.5,38,320.00,320.00 ,Matte Anthracite,,,
D53117852662O,HOSTAGE 17X8.5 5X114.3 5X127  OR 6.2 73.,Fuel 1PC,17X8.5,5X4.5,38,320.00,320.00 ,Chrome,,,
D53117852752,HOSTAGE 17X8.5 6X4.5/5.5 78.1 BD +14,Fuel 1PC,17X8.5,6X4.5/5.5,14,320.00,320.00 ,Matte Bronze w/ Black Lip,,,
D53117855162,HOSTAGE 17X8.5 5X110/5.0 72 BD +38,Fuel 1PC,17X8.5,5X110/5.0,38,320.00,320.00 ,Matte Bronze w/ Black Lip,,,
